,Unnamed: 0,alice_x,alice_y,bob_x,bob_y,eve_x,eve_y,alice_start_delay,bob_resp_delay,rotating_member,wifi_ch,wifi_bw,bob_eve_rx_timeout,failed_attempts_limit,req_num_packets,alice_hostname,alice_ip,alice_filename,alice_chan_spec,bob_hostname,bob_ip,bob_filename,bob_chan_spec,num_packets,failed_attempts_total,collect_duration,start_time,start_collect_time,end_time,total_duration,eve_hostname,eve_ip,eve_filename,eve_chan_spec,alice_z,bob_z,eve_z
0,0,0,0,0,0,0,0,0.08,0.06,bob,6,20,1,10,10,pi41NexmonCsi,192.168.1.96,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T1943_alice.pcap,"chanspec: 0x1006, 6
",pi40NexmonCsi,192.168.1.78,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T1943_bob.pcap,"chanspec: 0x1006, 6
",10,3,3.325597525,D20221017_T1943,D20221017_T1943,D20221017_T1943,,,,,,,,
0,0,0,0,0,0,0,0,0.08,0.06,bob,64,40,1,10,10,pi41NexmonCsi,192.168.1.96,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T1953_alice.pcap,"chanspec: 0x1006, 6
",pi40NexmonCsi,192.168.1.78,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T1953_bob.pcap,"chanspec: 0x1006, 6
",10,2,3.045197964,D20221017_T1953,D20221017_T1954,D20221017_T1954,,,,,,,,
0,0,0,0,0,0,0,0,0.08,0.06,bob,64,40,1,10,10,pi41NexmonCsi,192.168.1.96,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T1954_alice.pcap,"chanspec: 0x1006, 6
",pi40NexmonCsi,192.168.1.78,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T1954_bob.pcap,"chanspec: 0x1006, 6
",10,1,2.813256741,D20221017_T1954,D20221017_T1955,D20221017_T1955,,,,,,,,
0,0,0,0,0,0,0,0,0.08,0.06,bob,64,40,1,10,10,pi41NexmonCsi,192.168.1.96,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T1957_alice.pcap,"chanspec: 0xd93e, 64u
",pi40NexmonCsi,192.168.1.78,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T1957_bob.pcap,"chanspec: 0xd93e, 64u
",10,0,2.523892164,D20221017_T1957,D20221017_T1957,D20221017_T1957,,,,,,,,
0,0,0,0,0,0,0,0,0.08,0.01,bob,64,40,1,10,10,pi41NexmonCsi,192.168.1.96,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T1959_alice.pcap,"chanspec: 0xd93e, 64u
",pi40NexmonCsi,192.168.1.78,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T1959_bob.pcap,"chanspec: 0xd93e, 64u
",10,0,2.016349792,D20221017_T1959,D20221017_T2000,D20221017_T2000,,,,,,,,
0,0,0,0,0,0,0,0,0.008,0.005,bob,64,40,1,10,10,pi41NexmonCsi,192.168.1.96,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T2002_alice.pcap,"chanspec: 0xd93e, 64u
",pi40NexmonCsi,192.168.1.78,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T2002_bob.pcap,"chanspec: 0xd93e, 64u
",0,0,20.04835033,D20221017_T2002,D20221017_T2002,D20221017_T2002,,,,,,,,
0,0,0,0,0,0,0,0,0.05,0.005,bob,64,40,1,10,10,pi41NexmonCsi,192.168.1.96,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T2003_alice.pcap,"chanspec: 0xd93e, 64u
",pi40NexmonCsi,192.168.1.78,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T2003_bob.pcap,"chanspec: 0xd93e, 64u
",10,0,1.943664312,D20221017_T2003,D20221017_T2003,D20221017_T2004,,,,,,,,
0,0,0,0,0,0,0,0,0.05,0.005,bob,64,40,0.2,10,10,pi41NexmonCsi,192.168.1.96,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T2005_alice.pcap,"chanspec: 0xd93e, 64u
",pi40NexmonCsi,192.168.1.78,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T2005_bob.pcap,"chanspec: 0xd93e, 64u
",9,6,17.57392216,D20221017_T2005,D20221017_T2006,D20221017_T2006,,,,,,,,
0,0,0,0,0,0,0,0,0.05,0.005,bob,64,40,0.2,10,10,pi41NexmonCsi,192.168.1.96,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T2010_alice.pcap,"chanspec: 0xd93e, 64u
",pi40NexmonCsi,192.168.1.78,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T2010_bob.pcap,"chanspec: 0xd93e, 64u
",0,0,1.749731302,D20221017_T2010,D20221017_T2010,D20221017_T2011,15.39778805,,,,,,,
0,0,0,0,0,0,0,0,0.08,0.01,bob,36,40,0.2,10,10,pi41NexmonCsi,192.168.1.96,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T2012_alice.pcap,"chanspec: 0xd826, 36l
",pi40NexmonCsi,192.168.1.78,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T2012_bob.pcap,"chanspec: 0xd826, 36l
",10,0,2.358675241,D20221017_T2012,D20221017_T2013,D20221017_T2013,15.91355205,,,,,,,
0,0,0,0,0,0,0,0,0.08,0.06,bob,36,40,0.2,10,10,pi41NexmonCsi,192.168.1.96,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T2031_alice.pcap,"chanspec: 0xd826, 36l
",pi40NexmonCsi,192.168.1.78,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T2031_bob.pcap,"chanspec: 0xd826, 36l
",10,0,2.621880293,D20221017_T2031,D20221017_T2031,D20221017_T2031,16.10163903,,,,,,,
0,0,0,0,0,0,0,0,0.08,0.06,bob,36,40,0.2,10,10,pi41NexmonCsi,192.168.1.96,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T2033_alice.pcap,"chanspec: 0xd826, 36l
",pi40NexmonCsi,192.168.1.78,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T2033_bob.pcap,"chanspec: 0xd826, 36l
",10,1,2.839308262,D20221017_T2033,D20221017_T2033,D20221017_T2033,16.37183547,,,,,,,
0,0,0,0,0,0,0,0,0.08,0.06,bob,36,40,0.2,10,10,pi41NexmonCsi,192.168.1.96,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T2035_alice.pcap,"chanspec: 0xd826, 36l
",pi40NexmonCsi,192.168.1.78,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T2035_bob.pcap,"chanspec: 0xd826, 36l
",10,12,5.573574543,D20221017_T2035,D20221017_T2035,D20221017_T2035,19.06965446,,,,,,,
0,0,0,0,0,0,0,0,0.08,0.06,bob,6,20,0.2,10,10,pi41NexmonCsi,192.168.1.96,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T2042_alice.pcap,"chanspec: 0x1006, 6
",pi40NexmonCsi,192.168.1.78,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T2042_bob.pcap,"chanspec: 0x1006, 6
",10,13,5.940032482,D20221017_T2042,D20221017_T2042,D20221017_T2042,19.42609143,,,,,,,
0,0,0,0,0,0,0,0,0.08,0.06,bob,6,20,0.2,10,10,pi41NexmonCsi,192.168.1.96,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T2043_alice.pcap,"chanspec: 0x1006, 6
",pi40NexmonCsi,192.168.1.78,/home/pi/CSI_Extraction/nexmoncsita/software/outputs/csi_ctrl_summary_D20221017_T2043_bob.pcap,"chanspec: 0x1006, 6
",10,0,2.722143173,D20221017_T2043,D20221017_T2044,D20221017_T2044,16.25628519,,,,,,,
